canvas	source	text
02 Onboarding.dc.html	data	WhatsApp, Telegram · önerilmez
02 Onboarding.dc.html	data	daspin 1.4s linear infinite
02 Onboarding.dc.html	data	daspin 2.2s linear infinite reverse
02 Onboarding.dc.html	data	'Material Symbols Rounded'
02 Onboarding.dc.html	data	'FILL' 1
02 Onboarding.dc.html	data	daspin .9s linear infinite
03 Bugun ve Brifingler.dc.html	template	← Prototip ve IA
03 Bugun ve Brifingler.dc.html	template	01 Sistem
03 Bugun ve Brifingler.dc.html	template	02 Onboarding
03 Bugun ve Brifingler.dc.html	template	03 Bugün
03 Bugun ve Brifingler.dc.html	template	04 Akış
03 Bugun ve Brifingler.dc.html	template	05 Plan
03 Bugun ve Brifingler.dc.html	template	06 Asistan
03 Bugun ve Brifingler.dc.html	template	07 Hesap
03 Bugun ve Brifingler.dc.html	template	08 Durumlar
03 Bugun ve Brifingler.dc.html	template	09 Pazarlama
03 Bugun ve Brifingler.dc.html	template	03 · Bugün ve Brifingler
03 Bugun ve Brifingler.dc.html	template	Günün ritmi dört dokunuştur: sabah brifingi (08:00), öğle nabzı (13:00), akşam kapanışı (19:00), haftalık özet (Pazar 18:00). Hepsi aynı hero cümle kalıbını kullanır: “Bugün bilmen gereken N şey var.” Sayı yalnızca hero'da renklidir; kartlarda renk yalnızca aciliyet için.
03 Bugun ve Brifingler.dc.html	template	Bugün · Light · Sabah
03 Bugun ve Brifingler.dc.html	template	5 EYLÜL CUMARTESİ
03 Bugun ve Brifingler.dc.html	template	Günaydın, Yunus
03 Bugun ve Brifingler.dc.html	template	2 onay
03 Bugun ve Brifingler.dc.html	template	BRİFİNG HAZIR · 07:58
03 Bugun ve Brifingler.dc.html	template	Bugün bilmen gereken
03 Bugun ve Brifingler.dc.html	template	şey var.
03 Bugun ve Brifingler.dc.html	template	3 önemli mail · 4 etkinlik · 2 takip
03 Bugun ve Brifingler.dc.html	template	Brifingimi Gör
03 Bugun ve Brifingler.dc.html	template	Dinle · 2 dk
03 Bugun ve Brifingler.dc.html	template	ÖNCELİKLERİN
03 Bugun ve Brifingler.dc.html	template	5 konu
03 Bugun ve Brifingler.dc.html	template	ACİL
03 Bugun ve Brifingler.dc.html	template	Ahmet senden bugün 17:00'ye kadar revize teklif bekliyor.
03 Bugun ve Brifingler.dc.html	template	Gmail · Ahmet Yılmaz · 08:42
03 Bugun ve Brifingler.dc.html	template	Yanıtla
03 Bugun ve Brifingler.dc.html	template	Hatırlat
03 Bugun ve Brifingler.dc.html	template	TOPLANTI
03 Bugun ve Brifingler.dc.html	template	14:30 Mehmet ile toplantı
03 Bugun ve Brifingler.dc.html	template	Son görüşmeniz 4 gün önceydi.
03 Bugun ve Brifingler.dc.html	template	Google Takvim · Müşteri toplantısı · 60 dk
03 Bugun ve Brifingler.dc.html	template	Hazırlan
03 Bugun ve Brifingler.dc.html	template	SON TARİH
03 Bugun ve Brifingler.dc.html	template	Başvuru bugün 17:00'de kapanıyor.
03 Bugun ve Brifingler.dc.html	template	Gmail · Girişim Programı · Dün 16:10
03 Bugun ve Brifingler.dc.html	template	Takvime Ekle
03 Bugun ve Brifingler.dc.html	template	TAKİP
03 Bugun ve Brifingler.dc.html	template	3 gün
03 Bugun ve Brifingler.dc.html	template	Gönderdiğin teklif mailine 3 gündür cevap gelmedi.
03 Bugun ve Brifingler.dc.html	template	Gmail · Mehmet Yılmaz · 2 Eyl
03 Bugun ve Brifingler.dc.html	template	Takip Mesajı Hazırla
03 Bugun ve Brifingler.dc.html	template	Yarın Hatırlat
03 Bugun ve Brifingler.dc.html	template	KİŞİSEL
03 Bugun ve Brifingler.dc.html	template	Bugün
03 Bugun ve Brifingler.dc.html	template	Trendyol siparişin bugün geliyor.
03 Bugun ve Brifingler.dc.html	template	Kargo · Yurtiçi · 14:00–18:00
03 Bugun ve Brifingler.dc.html	template	Takip Et
03 Bugun ve Brifingler.dc.html	template	Akış
03 Bugun ve Brifingler.dc.html	template	Plan
03 Bugun ve Brifingler.dc.html	template	Asistan
03 Bugun ve Brifingler.dc.html	template	Hero tek cümle + insani bağlam satırı; KPI kutusu yok. Kartlar: rozet (yalnızca anlam), başlık, kaynak satırı, en fazla 2 aksiyon. Sağ üstteki onay rozeti bekleyen yazma işlemi varsa görünür.
03 Bugun ve Brifingler.dc.html	template	Bugün · Dark
03 Bugun ve Brifingler.dc.html	template	İyi akşamlar, Yunus
03 Bugun ve Brifingler.dc.html	template	AKŞAM KAPANIŞI HAZIR
03 Bugun ve Brifingler.dc.html	template	Bugünden yarına
03 Bugun ve Brifingler.dc.html	template	konu kaldı.
03 Bugun ve Brifingler.dc.html	template	4 tamamlandı · 2 takip · Yarın 09:00 Haftalık ekip
03 Bugun ve Brifingler.dc.html	template	Kapanışı Gör
03 Bugun ve Brifingler.dc.html	template	Dinle · 1 dk
03 Bugun ve Brifingler.dc.html	template	YARINA KALANLAR
03 Bugun ve Brifingler.dc.html	template	3 konu
03 Bugun ve Brifingler.dc.html	template	Yarın 12:00
03 Bugun ve Brifingler.dc.html	template	Selin sözleşme taslağı için yorumunu bekliyor.
03 Bugun ve Brifingler.dc.html	template	Gmail · Selin Kaya · 15:40
03 Bugun ve Brifingler.dc.html	template	Sabah Hatırlat
03 Bugun ve Brifingler.dc.html	template	TAAHHÜT
03 Bugun ve Brifingler.dc.html	template	Yarın
03 Bugun ve Brifingler.dc.html	template	Mehmet'e teklif gönder
03 Bugun ve Brifingler.dc.html	template	Toplantı sonrası “yarın göndereceğim” dedin.
03 Bugun ve Brifingler.dc.html	template	Toplantı notu · 15:31
03 Bugun ve Brifingler.dc.html	template	Planla
03 Bugun ve Brifingler.dc.html	template	Ertele
03 Bugun ve Brifingler.dc.html	template	Yarın 09:15
03 Bugun ve Brifingler.dc.html	template	TK2412 · İstanbul → Antalya
03 Bugun ve Brifingler.dc.html	template	06:45'te evden çıkman gerekebilir. Check-in açık.
03 Bugun ve Brifingler.dc.html	template	THY · Rezervasyon maili · 28 Ağu
03 Bugun ve Brifingler.dc.html	template	Check-in
03 Bugun ve Brifingler.dc.html	template	Alarm Kur
03 Bugun ve Brifingler.dc.html	template	Dark: sıcak siyah #141311, yüzey #1F1E1B, hairline %6 beyaz. Marka indigosu aydınlatılır (#8586F2); acil coral #F08B78. Akşam saatlerinde hero otomatik olarak kapanış moduna geçer.
03 Bugun ve Brifingler.dc.html	template	Sabah Brifingi · Tam ekran
03 Bugun ve Brifingler.dc.html	template	SABAH BRİFİNGİ · 5 EYLÜL
03 Bugun ve Brifingler.dc.html	template	Günaydın Yunus
03 Bugun ve Brifingler.dc.html	template	Bugün oldukça sakin bir günün var.
03 Bugun ve Brifingler.dc.html	template	Öğlene kadar toplantın bulunmuyor. Saat 14:30'da Mehmet ile müşteri toplantın var. Toplantı öncesinde dün gelen fiyat teklifine bakman faydalı olabilir. Gelen 46 mail arasında 3 konu dikkat gerektiriyor.
03 Bugun ve Brifingler.dc.html	template	46 mail, 1 takvim, 3 gün geçmiş analiz edildi · 07:58
03 Bugun ve Brifingler.dc.html	template	Brifingi Dinle · 2 dk
03 Bugun ve Brifingler.dc.html	template	Şafak gradyanı + Lora anlatı: günün tek “editoryal” anı. Altı bölüm sabit sırada; boş bölüm gizlenir. Her satır kaynağına gider.
03 Bugun ve Brifingler.dc.html	template	3.3D
03 Bugun ve Brifingler.dc.html	template	Sabah Brifingi · Dark
03 Bugun ve Brifingler.dc.html	template	Şafak gradyanı her iki modda aynı; içerik yüzeyi #141311, kartlar #1F1E1B + %6 beyaz hairline. Ink CTA yerine dark primary (#8586F2, üzerinde #0F0F2A).
03 Bugun ve Brifingler.dc.html	template	Sesli Brifing
03 Bugun ve Brifingler.dc.html	template	SESLİ BRİFİNG
03 Bugun ve Brifingler.dc.html	template	1.0x
03 Bugun ve Brifingler.dc.html	template	Sabah Brifingi
03 Bugun ve Brifingler.dc.html	template	5 Eylül · 2 dk 14 sn · Bugünün öncelikleri
03 Bugun ve Brifingler.dc.html	template	Genel bakış
03 Bugun ve Brifingler.dc.html	template	Bugünün öncelikleri
03 Bugun ve Brifingler.dc.html	template	Programın
03 Bugun ve Brifingler.dc.html	template	Cevap bekleyenler
03 Bugun ve Brifingler.dc.html	template	Son tarihler
03 Bugun ve Brifingler.dc.html	template	Kişisel gelişmeler
03 Bugun ve Brifingler.dc.html	template	Bölümler kısa; dinlerken sekmelere dokunarak atlanır. 15 sn ileri/geri, hız 1.0 → 1.25 → 1.5. Kilit ekranı ve CarPlay için aynı bölüm yapısı kullanılır.
03 Bugun ve Brifingler.dc.html	template	Öğle Nabzı · 13:00
03 Bugun ve Brifingler.dc.html	template	ÖĞLE NABZI
03 Bugun ve Brifingler.dc.html	template	SABAHTAN BERİ
03 Bugun ve Brifingler.dc.html	template	Sabahından beri
03 Bugun ve Brifingler.dc.html	template	önemli gelişme oldu.
03 Bugun ve Brifingler.dc.html	template	TAKVİM
03 Bugun ve Brifingler.dc.html	template	Mehmet toplantıyı 16:00'ya almak istiyor.
03 Bugun ve Brifingler.dc.html	template	16:00 Ürün gözden geçirme ile çakışır. 16:30 senin için boş.
03 Bugun ve Brifingler.dc.html	template	Gmail · Mehmet Yılmaz · 12:12
03 Bugun ve Brifingler.dc.html	template	16:30 Öner
03 Bugun ve Brifingler.dc.html	template	Seçenekleri Gör
03 Bugun ve Brifingler.dc.html	template	Gönderdiğin teklife henüz cevap gelmedi.
03 Bugun ve Brifingler.dc.html	template	Toplantıda Sor
03 Bugun ve Brifingler.dc.html	template	GÜNÜN GERİ KALANI
03 Bugun ve Brifingler.dc.html	template	Mehmet ile müşteri toplantısı
03 Bugun ve Brifingler.dc.html	template	Hazır
03 Bugun ve Brifingler.dc.html	template	Başvuru son saati
03 Bugun ve Brifingler.dc.html	template	4 sa kaldı
03 Bugun ve Brifingler.dc.html	template	Akşam yemeği · Karaköy
03 Bugun ve Brifingler.dc.html	template	4 kişi
03 Bugun ve Brifingler.dc.html	template	Tamam
03 Bugun ve Brifingler.dc.html	template	Sadece delta: sabahtan beri değişenler. Gelişme yoksa bildirim gönderilmez; ekran “Her şey planlandığı gibi.” tek satırıyla açılır.
03 Bugun ve Brifingler.dc.html	template	Akşam Kapanışı · 19:00
03 Bugun ve Brifingler.dc.html	template	AKŞAM KAPANIŞI · 5 EYLÜL
03 Bugun ve Brifingler.dc.html	template	Bugünden yarına 3 konu kaldı.
03 Bugun ve Brifingler.dc.html	template	4 konuyu kapattın. Yarın 09:00'da başlıyorsun.
03 Bugun ve Brifingler.dc.html	template	TAMAMLANANLAR · 4
03 Bugun ve Brifingler.dc.html	template	Ahmet'e revize teklif gönderildi
03 Bugun ve Brifingler.dc.html	template	Girişim programı başvurusu
03 Bugun ve Brifingler.dc.html	template	Kargo teslim alındı
03 Bugun ve Brifingler.dc.html	template	YARINA KALANLAR · 3
03 Bugun ve Brifingler.dc.html	template	Selin'e sözleşme yorumu
03 Bugun ve Brifingler.dc.html	template	Taahhüt
03 Bugun ve Brifingler.dc.html	template	Elektrik faturası · 1.842 TL
03 Bugun ve Brifingler.dc.html	template	10 Eyl
03 Bugun ve Brifingler.dc.html	template	TAKİP EDİLECEKLER · 2
03 Bugun ve Brifingler.dc.html	template	Mehmet · Teklif v2 geri bildirimi
03 Bugun ve Brifingler.dc.html	template	4. gün
03 Bugun ve Brifingler.dc.html	template	Hukuk · Sözleşme yorumu
03 Bugun ve Brifingler.dc.html	template	15. gün
03 Bugun ve Brifingler.dc.html	template	YARININ İLK ETKİNLİĞİ
03 Bugun ve Brifingler.dc.html	template	Haftalık ekip
03 Bugun ve Brifingler.dc.html	template	60 dk · Ofis · 07:50'de çıkman yeterli
03 Bugun ve Brifingler.dc.html	template	Yarına Hazırım
03 Bugun ve Brifingler.dc.html	template	Alacakaranlık gradyanı sabahın tersi. “Yarına Hazırım” akşam bildirimlerini sessize alır ve sabah brifingini planlar.
03 Bugun ve Brifingler.dc.html	template	Haftalık Özet · Editoryal
03 Bugun ve Brifingler.dc.html	template	1–7 EYLÜL
03 Bugun ve Brifingler.dc.html	template	Haftalık özet
03 Bugun ve Brifingler.dc.html	template	Haftan nasıl geçti?
03 Bugun ve Brifingler.dc.html	template	Bu hafta
03 Bugun ve Brifingler.dc.html	template	mail geldi. Bunların yalnızca
03 Bugun ve Brifingler.dc.html	template	'si dikkatini gerektirdi; gerisini senin için okudum. Çarşamba en yoğun günündü: 6 toplantı, arada 20 dakika bile boşluk yoktu.
03 Bugun ve Brifingler.dc.html	template	mail analiz edildi
03 Bugun ve Brifingler.dc.html	template	önemli konu öne çıkarıldı
03 Bugun ve Brifingler.dc.html	template	toplantı, 14'üne hazırlık notu
03 Bugun ve Brifingler.dc.html	template	takip, 6'sı cevaplandı
03 Bugun ve Brifingler.dc.html	template	son tarih, hiçbiri kaçmadı
03 Bugun ve Brifingler.dc.html	template	KAZANDIĞIN ZAMAN
03 Bugun ve Brifingler.dc.html	template	2 saat 48 dakika
03 Bugun ve Brifingler.dc.html	template	Okunmayan 652 mail, 14 hazırlık notu ve 6 takip taslağı üzerinden tahmin.
03 Bugun ve Brifingler.dc.html	template	Gelecek hafta: Salı 3 son tarih var, Perşembe öğleden sonra tamamen boş. Teklif hazırlamak için orayı öneriyorum.
03 Bugun ve Brifingler.dc.html	template	Dijital Haftamı Paylaş
03 Bugun ve Brifingler.dc.html	template	Analytics değil, editoryal: Lora sayılar, satır aralı liste, tek koyu vurgu kartı. Sayfa Pazar 18:00'de hazır olur.
03 Bugun ve Brifingler.dc.html	template	“Dijital Haftam” paylaşım kartı · 1080×1350
03 Bugun ve Brifingler.dc.html	template	Dijital Asistan
03 Bugun ve Brifingler.dc.html	template	DİJİTAL HAFTAM · 1–7 EYLÜL
03 Bugun ve Brifingler.dc.html	template	684 maili okumadım.
03 Bugun ve Brifingler.dc.html	template	Önemli 32'sini gördüm.
03 Bugun ve Brifingler.dc.html	template	toplantı
03 Bugun ve Brifingler.dc.html	template	2 sa 48 dk
03 Bugun ve Brifingler.dc.html	template	kazandım
03 Bugun ve Brifingler.dc.html	template	Bugün bilmen gerekenleri, sen sormadan söyler.
03 Bugun ve Brifingler.dc.html	template	Kişisel detay yok: isim, kişi, konu başlığı içermez. Sadece toplamlar ve kazanılan zaman. 1080×1350 (4:5) ve 1080×1920 (story) varyantı aynı kalıptan üretilir.
03 Bugun ve Brifingler.dc.html	data	BUGÜNÜN ÖNCELİKLERİ
03 Bugun ve Brifingler.dc.html	data	Ahmet'e revize teklif
03 Bugun ve Brifingler.dc.html	data	Acil · 17:00
03 Bugun ve Brifingler.dc.html	data	14:30 · Hazırlık öneriliyor
03 Bugun ve Brifingler.dc.html	data	Başvuru 17:00'de kapanıyor
03 Bugun ve Brifingler.dc.html	data	Son tarih
03 Bugun ve Brifingler.dc.html	data	14:30 · 60 dk · Ofis
03 Bugun ve Brifingler.dc.html	data	Ürün gözden geçirme
03 Bugun ve Brifingler.dc.html	data	16:00 · 30 dk · Online
03 Bugun ve Brifingler.dc.html	data	Akşam yemeği rezervasyonu
03 Bugun ve Brifingler.dc.html	data	20:30 · Karaköy
03 Bugun ve Brifingler.dc.html	data	SENDEN CEVAP BEKLEYENLER
03 Bugun ve Brifingler.dc.html	data	Ahmet Yılmaz · Revize teklif
03 Bugun ve Brifingler.dc.html	data	Bugün 17:00
03 Bugun ve Brifingler.dc.html	data	Selin Kaya · Sözleşme taslağı
03 Bugun ve Brifingler.dc.html	data	3 saattir bekliyor
03 Bugun ve Brifingler.dc.html	data	SENİN CEVAP BEKLEDİKLERİN
03 Bugun ve Brifingler.dc.html	data	Mehmet Yılmaz · Teklif
03 Bugun ve Brifingler.dc.html	data	3 gündür yanıt yok
03 Bugun ve Brifingler.dc.html	data	SON TARİHLER
03 Bugun ve Brifingler.dc.html	data	10 Eylül
03 Bugun ve Brifingler.dc.html	data	KİŞİSEL GELİŞMELER
03 Bugun ve Brifingler.dc.html	data	Trendyol siparişin bugün geliyor
03 Bugun ve Brifingler.dc.html	data	TK2412 İstanbul → Antalya
03 Bugun ve Brifingler.dc.html	data	Netflix yenilenecek
03 Bugun ve Brifingler.dc.html	data	9 Eylül
04 Akis ve Mail.dc.html	template	← Prototip ve IA
04 Akis ve Mail.dc.html	template	01 Sistem
04 Akis ve Mail.dc.html	template	02 Onboarding
04 Akis ve Mail.dc.html	template	03 Bugün
04 Akis ve Mail.dc.html	template	04 Akış
04 Akis ve Mail.dc.html	template	05 Plan
04 Akis ve Mail.dc.html	template	06 Asistan
04 Akis ve Mail.dc.html	template	07 Hesap
04 Akis ve Mail.dc.html	template	08 Durumlar
04 Akis ve Mail.dc.html	template	09 Pazarlama
04 Akis ve Mail.dc.html	template	04 · Akış ve Mail Zekâsı
04 Akis ve Mail.dc.html	template	Akış bir gelen kutusu değil, dikkat akışıdır: tüm kaynaklardan gelen sinyaller tek kart kalıbında (kaynak · rozet · başlık · AI özeti · aksiyon). Ham mail metni hiçbir listede görünmez; yalnızca mail detayında “Orijinal Mail” altında açılır. Her AI çıkarımının altında kaynak satırı vardır.
04 Akis ve Mail.dc.html	template	Akış · Tümü
04 Akis ve Mail.dc.html	template	Akış
04 Akis ve Mail.dc.html	template	Ekle
04 Akis ve Mail.dc.html	template	Tümü
04 Akis ve Mail.dc.html	template	Önemli
04 Akis ve Mail.dc.html	template	Mail
04 Akis ve Mail.dc.html	template	Takvim
04 Akis ve Mail.dc.html	template	Takip
04 Akis ve Mail.dc.html	template	Kişisel
04 Akis ve Mail.dc.html	template	10 konu · 5 önemli · Son analiz 09:40
04 Akis ve Mail.dc.html	template	Bugün
04 Akis ve Mail.dc.html	template	Plan
04 Akis ve Mail.dc.html	template	Asistan
04 Akis ve Mail.dc.html	template	Sıralama: aciliyet → zaman. Renkli rozet yalnızca ACİL, SON TARİH ve GÜVENLİK için; diğer rozetler nötr. Sağa kaydırma: Tamamlandı, sola kaydırma: Ertele / Önemli değil.
04 Akis ve Mail.dc.html	template	Akış · Kişisel filtresi · Dark
04 Akis ve Mail.dc.html	template	6 konu · 1 önemli
04 Akis ve Mail.dc.html	template	Kişisel filtre = yaşam zekâsı: kargo, uçuş, ödeme, abonelik, rezervasyon, güvenlik. Aynı kart kalıbı; yalnızca ikon değişir.
04 Akis ve Mail.dc.html	template	Mail Zekâsı · Gelen kutusu yerine anlama
04 Akis ve Mail.dc.html	template	MAİL ZEKÂSI · BUGÜN
04 Akis ve Mail.dc.html	template	mail geldi
04 Akis ve Mail.dc.html	template	tanesi dikkat gerektiriyor.
04 Akis ve Mail.dc.html	template	77'sini senin için okudum; 44'ü düşük öncelikli, 31'i bilgilendirme.
04 Akis ve Mail.dc.html	template	ÖNEMLİ · 3
04 Akis ve Mail.dc.html	template	AY
04 Akis ve Mail.dc.html	template	Ahmet Yılmaz
04 Akis ve Mail.dc.html	template	ACİL
04 Akis ve Mail.dc.html	template	Revize fiyat teklifini bugün 17:00'ye kadar PDF olarak istiyor.
04 Akis ve Mail.dc.html	template	Yanıt Hazırla
04 Akis ve Mail.dc.html	template	SK
04 Akis ve Mail.dc.html	template	Selin Kaya
04 Akis ve Mail.dc.html	template	Dün 15:40
04 Akis ve Mail.dc.html	template	Sözleşme taslağının 4. maddesi için yorumunu bekliyor; yarın öğlen hukuka gidecek.
04 Akis ve Mail.dc.html	template	GP
04 Akis ve Mail.dc.html	template	Girişim Programı
04 Akis ve Mail.dc.html	template	SON TARİH
04 Akis ve Mail.dc.html	template	Dün
04 Akis ve Mail.dc.html	template	Başvuru bugün 17:00'de kapanıyor; form yaklaşık 10 dakika.
04 Akis ve Mail.dc.html	template	Takvime Ekle
04 Akis ve Mail.dc.html	template	Büyük sayı yalnızca burada: 83 → 6 hikâyesi. Bant grafiği üç dilim (dikkat / bilgi / düşük). Kategoriler sabit; boş kategori sayısı 0 olur, gizlenmez.
04 Akis ve Mail.dc.html	template	Mail Detayı · AI özeti önce
04 Akis ve Mail.dc.html	template	MY
04 Akis ve Mail.dc.html	template	Mehmet Yılmaz
04 Akis ve Mail.dc.html	template	Bugün 08:42 · Gmail · Sana
04 Akis ve Mail.dc.html	template	Re: Eylül teklifi – revize fiyat
04 Akis ve Mail.dc.html	template	AI ÖZETİ
04 Akis ve Mail.dc.html	template	Mehmet revize fiyat teklifinin bugün 17:00'ye kadar gönderilmesini istiyor.
04 Akis ve Mail.dc.html	template	ÖNEMLİ NOKTALAR
04 Akis ve Mail.dc.html	template	Revize fiyat
04 Akis ve Mail.dc.html	template	Deadline 17:00
04 Akis ve Mail.dc.html	template	PDF gönderilecek
04 Akis ve Mail.dc.html	template	ÖNERİLEN AKSİYONLAR
04 Akis ve Mail.dc.html	template	Görev Oluştur
04 Akis ve Mail.dc.html	template	Hatırlat
04 Akis ve Mail.dc.html	template	Orijinal Mail
04 Akis ve Mail.dc.html	template	Merhaba Yunus, Geçen hafta konuştuğumuz teklifi revize edebilir misin? Yönetim bugün saat 17:00'ye kadar güncellenmiş fiyatı PDF olarak görmek istiyor. Teslim tarihini de netleştirsek iyi olur. Teşekkürler, Mehmet
04 Akis ve Mail.dc.html	template	Kaynak: Gmail · mehmet.yilmaz@… · Gelen Kutusu · Konu dizisi 4 mail
04 Akis ve Mail.dc.html	template	Sıra: kim · konu · AI özeti · aksiyonlar · orijinal. Orijinal mail varsayılan kapalı ama her zaman bir dokunuş uzakta; kaynak satırı en altta sabittir.
04 Akis ve Mail.dc.html	template	AI Yanıt Taslağı · Onay gerektirir
04 Akis ve Mail.dc.html	template	YANIT TASLAĞI
04 Akis ve Mail.dc.html	template	Kime
04 Akis ve Mail.dc.html	template	Re: Eylül teklifi
04 Akis ve Mail.dc.html	template	Kısa
04 Akis ve Mail.dc.html	template	Profesyonel
04 Akis ve Mail.dc.html	template	Samimi
04 Akis ve Mail.dc.html	template	Detaylı
04 Akis ve Mail.dc.html	template	AI TASLAĞI · PROFESYONEL
04 Akis ve Mail.dc.html	template	Düzenlenebilir
04 Akis ve Mail.dc.html	template	Merhaba Mehmet, Talebiniz için teşekkürler. Revize fiyat teklifini, güncellenmiş teslim tarihiyle birlikte bugün 17:00'den önce PDF formatında iletiyor olacağım. Sorularınız olursa memnuniyetle yardımcı olurum. İyi çalışmalar, Yunus
04 Akis ve Mail.dc.html	template	Teklif_v3.pdf ekle
04 Akis ve Mail.dc.html	template	Kısalt
04 Akis ve Mail.dc.html	template	Sen onaylamadan hiçbir mail gönderilmez.
04 Akis ve Mail.dc.html	template	Göndermeyi Onayla
04 Akis ve Mail.dc.html	template	Düzenle
04 Akis ve Mail.dc.html	template	Ton seçimi taslağı anında değiştirir (prototipte çalışır). Buton adı “Gönder” değil “Göndermeyi Onayla”: yazma işlemi dili her yerde onay dilidir.
04 Akis ve Mail.dc.html	template	Akıllı Takip · Senin cevap beklediklerin
04 Akis ve Mail.dc.html	template	Takip Etmen Gerekenler
04 Akis ve Mail.dc.html	template	3 gönderdiğin mail yanıtsız. En eskisi 6 gün.
04 Akis ve Mail.dc.html	template	Takip Mesajı Hazırla
04 Akis ve Mail.dc.html	template	Yarın Hatırlat
04 Akis ve Mail.dc.html	template	Kapat
04 Akis ve Mail.dc.html	template	Bir kişiyi “Takip etme” dersen, o kişiden bekleyen mailleri bir daha göstermem.
04 Akis ve Mail.dc.html	template	Bekleme süresi rozeti 3 günden sonra amber, 7 günden sonra coral. “Takip Mesajı Hazırla” → 4.5 ile aynı taslak ekranı, takip tonunda.
04 Akis ve Mail.dc.html	template	Senden Beklenenler · Acil / Bugün / Yakında
04 Akis ve Mail.dc.html	template	Senden Beklenenler
04 Akis ve Mail.dc.html	template	4 kişi cevabını bekliyor.
04 Akis ve Mail.dc.html	template	Yanıtla
04 Akis ve Mail.dc.html	template	Kart: kişi · konu · ne bekleniyor · son tarih · bekleme süresi. Bölüm başlıkları renkli nokta taşır, kartlar nötr kalır.
04 Akis ve Mail.dc.html	template	Taahhütler · Verdiğin sözler
04 Akis ve Mail.dc.html	template	Taahhütlerin
04 Akis ve Mail.dc.html	template	Mail ve notlarında verdiğin sözleri yakaladım. 3 açık, 1 gecikmiş.
04 Akis ve Mail.dc.html	template	Taahhüt
04 Akis ve Mail.dc.html	template	Kaynak
04 Akis ve Mail.dc.html	template	Tamamlandı
04 Akis ve Mail.dc.html	template	Ertele
04 Akis ve Mail.dc.html	template	Kaynağı Gör
04 Akis ve Mail.dc.html	template	Söz alıntısı Lora italik: kullanıcının kendi sesi. Durum rozeti: AÇIK (nötr), BUGÜN (amber), GECİKMİŞ (coral), TAMAMLANDI (yeşil).
04 Akis ve Mail.dc.html	template	Yaşam Zekâsı · 6 kart kalıbı
04 Akis ve Mail.dc.html	template	Mail ve bildirimlerinden türetilen yaşam sinyalleri.
04 Akis ve Mail.dc.html	template	Tek kalıp, altı kategori: ikon karosu kategoriye göre hafif tonlanır (nötr, güvenlik hariç). Uçuşta rota tipografik ok ile; ödemede tutar başlıkta, son gün alt satırda.
04 Akis ve Mail.dc.html	template	Evrensel Yakalama · Ekran görüntüsü
04 Akis ve Mail.dc.html	template	EKLE
04 Akis ve Mail.dc.html	template	Fotoğraf
04 Akis ve Mail.dc.html	template	Ekran görüntüsü
04 Akis ve Mail.dc.html	template	PDF
04 Akis ve Mail.dc.html	template	Link
04 Akis ve Mail.dc.html	template	ekran görüntüsü · konser afişi
04 Akis ve Mail.dc.html	template	TARİH · YER
04 Akis ve Mail.dc.html	template	ETKİNLİK TESPİT EDİLDİ
04 Akis ve Mail.dc.html	template	Konser · Zorlu PSM
04 Akis ve Mail.dc.html	template	12 Eylül
04 Akis ve Mail.dc.html	template	Zorlu PSM
04 Akis ve Mail.dc.html	template	O akşam takvimin boş. 19:10'da çıkman gerekebilir.
04 Akis ve Mail.dc.html	template	Paylaşım menüsünden de gelir (iOS Share Sheet / Android Intent). Tespit kutusu görüntü üzerinde işaretlenir; çıkarılan alanlar çip olarak düzenlenebilir.
04 Akis ve Mail.dc.html	template	Yakalama · Fatura fotoğrafı + Akıllı hatırlatıcı
04 Akis ve Mail.dc.html	template	EKLE · FOTOĞRAF
04 Akis ve Mail.dc.html	template	fotoğraf · elektrik faturası
04 Akis ve Mail.dc.html	template	FATURA TESPİT EDİLDİ
04 Akis ve Mail.dc.html	template	Elektrik · CK Enerji
04 Akis ve Mail.dc.html	template	1.842 TL
04 Akis ve Mail.dc.html	template	Son ödeme
04 Akis ve Mail.dc.html	template	15 Eylül
04 Akis ve Mail.dc.html	template	· Abone no ···· 4821
04 Akis ve Mail.dc.html	template	Ne zaman hatırlatayım?
04 Akis ve Mail.dc.html	template	Elektrik faturası · Son ödeme 15 Eylül
04 Akis ve Mail.dc.html	template	30 dakika önce
04 Akis ve Mail.dc.html	template	1 saat önce
04 Akis ve Mail.dc.html	template	Bu akşam
04 Akis ve Mail.dc.html	template	Yarın sabah
04 Akis ve Mail.dc.html	template	Özel zaman
04 Akis ve Mail.dc.html	template	Uygun zamanda
04 Akis ve Mail.dc.html	template	Takvimine göre: 13 Eylül Cumartesi 10:00
04 Akis ve Mail.dc.html	template	Akıllı hatırlatıcı sayfası ürünün tek hatırlatıcı bileşenidir; her yerden aynı 6 seçenek. “Uygun zamanda” takvim boşluğuna ve mesai saatine göre seçilir, gerekçesi altında yazar.
04 Akis ve Mail.dc.html	template	4.12a
04 Akis ve Mail.dc.html	template	Yakalama · PDF · Seçim
04 Akis ve Mail.dc.html	template	Bir not yaz veya yapıştır…
04 Akis ve Mail.dc.html	template	PDF seç
04 Akis ve Mail.dc.html	template	Son dosyalar · Mail eklerinden ve Dosyalar'dan
04 Akis ve Mail.dc.html	template	Hizmet_Sozlesmesi_v3.pdf
04 Akis ve Mail.dc.html	template	14 sayfa · 1,2 MB · Mehmet Yılmaz · Dün
